"Sample1","Sample2","Distance","Study1","Study2"
511119,455521,0.22185617272853,"SDY472","SDY113"
511120,455521,0.21805767603659,"SDY472","SDY113"
511121,455521,0.222091440741281,"SDY472","SDY113"
511122,455521,0.204800507702447,"SDY472","SDY113"
521437,455521,0.195850881709774,"SDY478","SDY113"
521438,455521,0.202276569983821,"SDY478","SDY113"
521439,455521,0.155165573928241,"SDY478","SDY113"
521440,455521,0.206990487320237,"SDY478","SDY113"
521441,455521,0.180003827598997,"SDY478","SDY113"
521442,455521,0.209275747318648,"SDY478","SDY113"
521443,455521,0.188169423908875,"SDY478","SDY113"
521444,455521,0.200537417342265,"SDY478","SDY113"
521445,455521,0.186146214582838,"SDY478","SDY113"
521446,455521,0.197193564023942,"SDY478","SDY113"
521447,455521,0.268263935602081,"SDY478","SDY113"
521448,455521,0.206309910249636,"SDY478","SDY113"
521449,455521,0.239029284698238,"SDY478","SDY113"
521450,455521,0.221305853849172,"SDY478","SDY113"
521451,455521,0.245641257755051,"SDY478","SDY113"
521452,455521,0.224850748345042,"SDY478","SDY113"
521453,455521,0.206790281568939,"SDY478","SDY113"
521454,455521,0.252620893551092,"SDY478","SDY113"
521455,455521,0.235701526195766,"SDY478","SDY113"
521456,455521,0.205668966178387,"SDY478","SDY113"
521457,455521,0.187059513168028,"SDY478","SDY113"
521458,455521,0.162189437814181,"SDY478","SDY113"
521459,455521,0.188382417689694,"SDY478","SDY113"
521460,455521,0.152862477070865,"SDY478","SDY113"
521461,455521,0.207299805913358,"SDY478","SDY113"
521462,455521,0.19372217007142,"SDY478","SDY113"
521463,455521,0.154599103532496,"SDY478","SDY113"
521464,455521,0.274863606033725,"SDY478","SDY113"
521465,455521,0.162047001917734,"SDY478","SDY113"
521466,455521,0.216571041975918,"SDY478","SDY113"
521467,455521,0.218939453245766,"SDY478","SDY113"
521468,455521,0.186321666627333,"SDY478","SDY113"
