"tier","n_ref","repeat_id","ari","auc_both","auc_prop","auc_mean","recon_mse","ref_samples"
"Bottom 10%",2,14,0.831619959112355,0.641666666666667,0.705952380952381,0.61547619047619,0.00283170644090057,"771, 587"
"Bottom 10%",2,15,0.849858874016637,0.704761904761905,0.746428571428572,0.633333333333333,0.00274408076909708,"251, 250"
"Bottom 10%",2,16,0.841283149580202,0.703571428571429,0.754761904761905,0.669047619047619,0.00301718534762273,"771, 258"
"Bottom 10%",2,17,0.847729199814939,0.64047619047619,0.666666666666667,0.625,0.00283776901356369,"224, 587"
"Bottom 10%",2,18,0.850175120185446,0.607142857142857,0.673809523809524,0.585714285714285,0.00279295258025206,"230, 250"
"Bottom 10%",2,19,0.859963346274057,0.591666666666666,0.65,0.577380952380952,0.00286972411954783,"255, 250"
"Bottom 10%",2,20,0.867594912335386,0.583333333333333,0.725,0.479761904761905,0.00273288266029764,"255, 587"
"Bottom 10%",2,21,0.831332104599776,0.684523809523809,0.682142857142857,0.613095238095238,0.00303710767373811,"771, 770"
"Bottom 10%",2,22,0.850175120185446,0.607142857142857,0.673809523809524,0.585714285714285,0.00279295258025206,"230, 250"
"Bottom 10%",2,23,0.866954231940339,0.679761904761905,0.696428571428571,0.603571428571429,0.00292219281151385,"250, 258"
"Bottom 10%",2,24,0.837850122247851,0.723809523809524,0.742857142857143,0.416666666666667,0.00319147832098758,"250, 92"
"Bottom 10%",2,25,0.85109995628632,0.752380952380952,0.554761904761905,0.726190476190476,0.0028485643919111,"525, 251"
"Bottom 10%",2,26,0.854393802614722,0.692857142857143,0.611904761904762,0.689285714285715,0.00341275723406343,"770, 230"
"Bottom 10%",2,27,0.862804932766108,0.663095238095238,0.702380952380952,0.639285714285715,0.00303624375964966,"770, 587"
"Bottom 10%",2,28,0.80006368941723,0.696428571428571,0.652380952380952,0.683333333333334,0.00273380686589666,"771, 551"
"Bottom 10%",2,29,0.851367944508164,0.617857142857142,0.634523809523809,0.533333333333333,0.00335200328080928,"525, 258"
"Bottom 10%",2,30,0.859421508131077,0.679761904761905,0.644047619047619,0.654761904761905,0.00310237274297372,"551, 255"
