"tier","n_ref","repeat_id","auc_both","auc_prop","auc_mean","recon_mse","mean_r2","mean_cv","mean_sd_change","ref_samples"
"Bottom 10%",2,80,0.887566137566138,0.817460317460318,0.870370370370371,0.00462742435668335,0.51373326338197,0.871687028475387,0.0147512882700152,"521918, 499690"
"Bottom 10%",2,81,0.862433862433863,0.777777777777778,0.838624338624338,0.00471055757453761,0.509577087595729,0.875264390079383,0.0136690801621835,"521975, 521477"
"Bottom 10%",2,82,0.923280423280423,0.858465608465609,0.936507936507936,0.00407024472270263,0.422212751488513,0.874473297499557,0.01415370049739,"499737, 511102"
"Bottom 10%",2,83,0.849206349206349,0.902116402116403,0.861111111111112,0.00512921968738586,0.453287278974946,0.889786541330819,0.0130348162486255,"521975, 499704"
"Bottom 10%",2,84,0.834656084656084,0.936507936507937,0.787037037037037,0.00505131045469079,0.480328623076766,0.861358968728836,0.0155567325401501,"455522, 499734"
"Bottom 10%",2,85,0.931216931216931,0.884920634920635,0.915343915343916,0.00503402998681761,0.487685993803638,0.865656410632083,0.0150493310200503,"499719, 499737"
"Bottom 10%",2,86,0.886243386243386,0.914021164021165,0.83994708994709,0.00513988243551108,0.513113976514811,0.862766034668296,0.0148555697590582,"499704, 521455"
"Bottom 10%",2,87,0.907407407407408,0.887566137566138,0.914021164021164,0.0049449730314313,0.456853750883668,0.826506764125937,0.0199832900167782,"455930, 499716"
"Bottom 10%",2,88,0.826719576719577,0.681216931216931,0.794973544973545,0.00440725471244708,0.491106338794819,0.870082058916742,0.0141525911268082,"499682, 521480"
"Bottom 10%",2,89,0.772486772486772,0.841269841269841,0.681216931216931,0.0043652766088746,0.525242733144459,0.847787896088304,0.0165272917715616,"499737, 521476"
"Bottom 10%",2,90,0.582010582010582,0.830687830687831,0.503968253968254,0.00436783363769975,0.511094097765599,0.898046719674142,0.0107604160012008,"504129, 521456"
"Bottom 10%",2,91,0.828042328042328,0.888888888888889,0.802910052910053,0.00460907053621579,0.477226433376673,0.870281853530916,0.0141578865179059,"499734, 455910"
