"cells_per_sample","sample_id","ari","n_cells_actual"
6000,"528",0.841011312166287,6000
6000,"551",0.895962237371385,6000
6000,"586",0.844598898209617,6000
6000,"587",0.71766830029945,6000
6000,"591",0.884203747337307,6000
6000,"603",0.827630178869696,6000
6000,"608",0.921877898588806,6000
6000,"621",0.910814341714849,6000
6000,"625",0.886814984391626,6000
6000,"628",0.726788440006858,6000
6000,"633",0.883060397498036,6000
6000,"674",0.785567085269141,6000
6000,"679",0.815111721402003,6000
6000,"702",0.875948902138262,6000
6000,"710",0.792531292435647,6000
6000,"711",0.864942995384705,6000
6000,"715",0.892785541079752,6000
6000,"717",0.770129449430153,6000
6000,"719",0.810175040199089,6000
6000,"723",0.912671391468155,6000
6000,"732",0.89217352277064,6000
6000,"737",0.812311863033376,6000
6000,"739",0.84239822648941,6000
6000,"740",0.887954971509243,6000
6000,"747",0.920390968847798,6000
6000,"750",0.907998145005073,6000
6000,"761",0.85302222923375,6000
6000,"767",0.759837945056961,6000
6000,"768",0.649521305874875,6000
6000,"770",0.803855207638959,6000
6000,"771",0.717388051015328,6000
6000,"774",0.843092189870252,6000
6000,"776",0.881478175999448,6000
6000,"777",0.837141675776369,6000
6000,"791",0.831935806786448,6000
6000,"801",0.887506258796954,6000
6000,"804",0.859927208266926,6000
6000,"805",0.78282486686345,6000
6000,"867",0.790787251702644,6000
6000,"868",0.865300101345881,6000
6000,"872",0.887005570322574,6000
6000,"880",0.685369130347955,6000
6000,"894",0.836863483502046,6000
6000,"940",0.865789365612334,6000
6000,"941",0.864101893275049,6000
7000,"87",0.581021622119147,7000
7000,"88",0.642707490265389,7000
7000,"89",0.537885381367091,7000
7000,"92",0.852766367614145,7000
7000,"96",0.727483885493097,7000
7000,"97",0.594488269533927,7000
7000,"103",0.587473991707458,7000
7000,"152",0.610450013707495,7000
7000,"154",0.61513568863848,7000
7000,"167",0.605325728738101,7000
7000,"169",0.605713791844958,7000
7000,"171",0.553631728837209,7000
7000,"173",0.702347400567647,7000
7000,"204",0.657900871225304,7000
7000,"208",0.777231357338914,7000
7000,"211",0.674566583989007,7000
7000,"213",0.6295204119076,7000
7000,"214",0.664263295310398,7000
7000,"215",0.747457538764929,7000
7000,"223",0.674933812663042,7000
7000,"224",0.7801405564052,7000
7000,"229",0.523617187707162,7000
7000,"230",0.728034354212388,7000
7000,"231",0.730374650407554,7000
7000,"232",0.618131568445861,7000
7000,"236",0.657309736546827,7000
7000,"241",0.693852089230355,7000
7000,"245",0.718600985528294,7000
7000,"246",0.703872665058008,7000
7000,"250",0.867519155411438,7000
7000,"251",0.649283782698258,7000
7000,"255",0.713087524194882,7000
7000,"257",0.633789870828557,7000
7000,"258",0.571525090225191,7000
7000,"259",0.573938854345525,7000
7000,"260",0.758147053428588,7000
7000,"264",0.629642658191872,7000
7000,"270",0.63647971766097,7000
7000,"276",0.598828727546758,7000
7000,"288",0.619089779774989,7000
7000,"293",0.615121924845526,7000
7000,"295",0.677575031895009,7000
7000,"297",0.592437479108486,7000
7000,"307",0.627196479225391,7000
7000,"322",0.720409978632068,7000
7000,"334",0.692731569870512,7000
7000,"342",0.806909450376687,7000
7000,"347",0.59213303886109,7000
7000,"358",0.734592749678943,7000
7000,"360",0.678923337504348,7000
7000,"364",0.569013201841188,7000
7000,"373",0.671038767588072,7000
7000,"380",0.462609810866273,7000
